profile_id,profile,profile_enabled,enabled,bin_index,R,rate,start,duration,n_bins,r_min,r_max,gain
1,Nonnegative-R region,1,1,507,1.345714285714286,18.99389178465572,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,508,1.354285714285714,19.23444061824337,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,509,1.362857142857143,19.4716829943306,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,510,1.3714285714285719,19.70579221344013,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,511,1.38,19.936930465751455,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,512,1.3885714285714288,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,513,1.3971428571428577,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,514,1.4057142857142857,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,515,1.4142857142857146,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,516,1.4228571428571435,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,517,1.4314285714285715,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,518,1.4400000000000004,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,519,1.4485714285714284,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,520,1.4571428571428573,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,521,1.4657142857142862,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,522,1.4742857142857142,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,523,1.482857142857143,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,524,1.491428571428572,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,525,1.5,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,526,1.508571428571429,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,527,1.5171428571428578,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,528,1.5257142857142858,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,529,1.5342857142857147,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,530,1.5428571428571427,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,531,1.5514285714285716,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,532,1.5600000000000005,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,533,1.5685714285714285,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,534,1.5771428571428574,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,535,1.5857142857142863,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
