bin_index,R,planned_base_exposure,delivered_base_exposure
334,-0.137142857142857,0.0,0.0
335,-0.12857142857142856,0.0,0.0
336,-0.11999999999999966,0.0,0.0
337,-0.11142857142857121,0.0,0.0
338,-0.10285714285714276,0.0,0.0
339,-0.0942857142857143,0.0,0.0
340,-0.08571428571428541,0.0,0.0
341,-0.07714285714285696,0.0,0.0
342,-0.0685714285714285,0.0,0.0
343,-0.06000000000000005,0.0,0.0
344,-0.05142857142857116,0.0,0.0
345,-0.042857142857142705,0.0,0.0
346,-0.03428571428571425,0.0,0.0
347,-0.025714285714285356,0.0,0.0
348,-0.017142857142856904,0.0,0.0
349,-0.008571428571428452,0.0,0.0
350,0.0,0.0,0.0
351,0.008571428571428896,0.0,0.0
352,0.01714285714285735,0.0,0.0
353,0.0257142857142858,0.0,0.0
354,0.03428571428571425,0.0,0.0
355,0.04285714285714315,0.0,0.0
356,0.0514285714285716,0.0,0.0
357,0.06000000000000005,0.0,0.0
358,0.0685714285714285,0.0,0.0
359,0.0771428571428574,0.0,0.0
360,0.08571428571428585,0.0,0.0
361,0.0942857142857143,0.0,0.0
362,0.1028571428571432,0.0,0.0
363,0.11142857142857165,0.0,0.0
364,0.1200000000000001,0.0,0.0
365,0.12857142857142856,0.0,0.0
366,0.13714285714285745,0.0,0.0
367,0.1457142857142859,0.0,0.0
368,0.15428571428571436,0.0,0.0
369,0.1628571428571428,0.0,0.0
370,0.1714285714285717,0.0,0.0
371,0.18000000000000016,0.0,0.0
372,0.1885714285714286,0.0,0.0
373,0.1971428571428575,0.0,0.0
374,0.20571428571428596,0.0,0.0
375,0.2142857142857144,0.0,0.0
376,0.22285714285714286,0.0,0.0
377,0.23142857142857176,0.0,0.0
378,0.2400000000000002,0.0,0.0
379,0.24857142857142867,0.0,0.0
380,0.2571428571428571,0.0,0.0
381,0.265714285714286,0.0,0.0
382,0.27428571428571447,0.0,0.0
383,0.2828571428571429,0.0,0.0
384,0.2914285714285718,0.0,0.0
385,0.30000000000000027,0.0,0.0
386,0.3085714285714287,0.0,0.0
387,0.31714285714285717,0.0,0.0
388,0.32571428571428607,0.0,0.0
389,0.3342857142857145,0.0,0.0
390,0.34285714285714297,0.0,0.0
391,0.3514285714285714,0.0,0.0
392,0.3600000000000003,0.0,0.0
393,0.36857142857142877,0.0,0.0
394,0.3771428571428572,0.0,0.0
395,0.3857142857142857,0.0,0.0
396,0.3942857142857146,0.0,0.0
397,0.402857142857143,0.0,0.0
398,0.4114285714285715,0.0,0.0
399,0.4200000000000004,0.0,0.0
400,0.4285714285714288,0.0,0.0
401,0.4371428571428573,0.0,0.0
402,0.44571428571428573,0.0,0.0
403,0.4542857142857146,0.0,0.0
404,0.4628571428571431,0.0,0.0
405,0.47142857142857153,0.0,0.0
406,0.48,0.0,0.0
407,0.4885714285714289,0.0,0.0
408,0.49714285714285733,0.0,0.0
409,0.5057142857142858,0.0,0.0
410,0.5142857142857147,0.0,0.0
411,0.5228571428571431,0.0,0.0
412,0.5314285714285716,0.0,0.0
413,0.54,0.0,0.0
414,0.5485714285714289,0.0,0.0
415,0.5571428571428574,0.0,0.0
416,0.5657142857142858,0.0,0.0
417,0.5742857142857143,0.0,0.0
418,0.5828571428571432,0.0,0.0
419,0.5914285714285716,0.0,0.0
